Codigo | Nombre | Path | Padre | Fecha | Raiz
071.PD004 - Transferencia de material a granel-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD004 - Transferencia de material a granel-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD005 - Cambio de camisa y pistón de la bomba de lodos Serie WIRTH 2200-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD005 - Cambio de camisa y pistón de la bomba de lodos Serie WIRTH 2200-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD006 - Cambio del disco de ruptura en la bomba de lodos serie WIRTH 2200-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD006 - Cambio del disco de ruptura en la bomba de lodos serie WIRTH 2200-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD007 - Cambio del plato de desgaste en la bomba de lodo serie WIRTH 2200-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD007 - Cambio del plato de desgaste en la bomba de lodo serie WIRTH 2200-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD008 - Cambio de valvula y asiento de bomba de lodo WIRTH 2200 R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD008 - Cambio de valvula y asiento de bomba de lodo WIRTH 2200 R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD009 - Cambio del  tubo lavador en el Top drive-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD009 - Cambio del  tubo lavador en el Top drive-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD010 - Cambio del módulo de descarga en bombas de lodo serie wirth 2200-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD010 - Cambio del módulo de descarga en bombas de lodo serie wirth 2200-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD011 - Cambio de Eslabones de 1000 Toneladas y Elevadores BX-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD011 - Cambio de Eslabones de 1000 Toneladas y Elevadores BX-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD012 - Extracción de Muestra-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD012 - Extracción de Muestra-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD013 - Resp Asist de Perforacion-Chango activacion sist de lodos R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD013 - Resp Asist de Perforacion-Chango activacion sist de lodos R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD014 - Drene del tanque separador R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD014 - Drene del tanque separador R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD015 - Perforación de la etapa de 8.5” correr y cementar Liner de 7”-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD015 - Perforación de la etapa de 8.5” correr y cementar Liner de 7”-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD016 - Perforación de la etapa de 12.25 correr y cementar TR de 9.625-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD016 - Perforación de la etapa de 12.25 correr y cementar TR de 9.625-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD017 - Perforación de la etapa de 17.5” correr y cementar TR de 13.375”-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD017 - Perforación de la etapa de 17.5” correr y cementar TR de 13.375”-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD018 - Perforacion de la etapa de 26 correr y cementar TR de 20-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD018 - Perforacion de la etapa de 26 correr y cementar TR de 20-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
